i,j,Aij,Bij,Cij,Aji,Bji,Cji
1,2,189.66,-0.27232, ,-95.41801,0.061708, 
1,3,114.2,0.0933, ,16.07,-0.2998, 
1,4,7.339,-0.4538, ,47.2,0.3575, 
1,5,2777,-4.674,0.001551,1606,-4.746,0.0009181
1,6,2409.4,-3.0099, ,82.593,-0.48575, 
1,7,1391.3,-3.6156,0.001144,-17.253,0.8389,0.0009021
1,8,1381,-0.9977, ,1987,-4.615, 
1,9,433.6,0.1473, ,199,-0.8709, 
1,10,875.85, , ,256.21, , 
1,11,98.65601,1.9294,-0.0031331,632.22,-3.3912,0.0039282
1,12,508.4,-0.6215, ,238.5,-0.5358, 
1,13,233.1,-0.3155, ,-9.654,-0.03242, 
1,14,-164.04,4.9683,-0.010252,326.04,-2.6348,0.0033576
1,15,350.58,0.066729, ,207.26,-1.0916, 
1,16,-175.7,1.857, ,205.65,-1.4436, 
1,17,958.74,-0.14836, ,2257.3,-5.6676, 
1,18,1802.3,-17.171,0.036,-436.15,3.4225,-0.0087
1,19,593.07,0.7335, ,293.81,-1.3979, 
1,20,1182.2,-3.2647,0.009198,2017.7,-9.0933,0.010238
1,21,401,-0.72772, ,-65.68501,0.074091, 
1,22,-233.66,1.2561, ,311.55,-1.1856, 
1,23,-653.74,4.5311,-0.008735,1302.6,-8.427,0.014417
1,24,267.51,-1.7109,0.003388,-148.07,1.0927,-0.002416
1,25,-1385,15.89,-0.04831,3264,-20.84,0.03317
1,26,2345,-13.2,0.02156,-396.5,3.092,-0.006266
1,27,2383,-2.693, ,1744,-4.082, 
1,28,24.33,1.521, ,72.12,-1.126, 
1,29,465.9,-0.8557, ,-59.9,-0.008313, 
1,30,577.7,0.9384, ,210.5,-1.081, 
1,31,897.7, , ,28.17, , 
1,32,559.9,-0.3564, ,166,-0.7116, 
1,33,527.7,-0.499, ,-62.08,-0.3658, 
1,34,477.5,-0.6581, ,-22.04,-0.1018, 
1,35,-547.5,3.457, ,477.1,-2.175, 
1,36,1662, , ,-291.9, , 
1,37,334.5,0.009102, ,3.202,-0.6894, 
1,38,468.5,-1.042, ,-160.3,-0.0108, 
1,39,406.2,0.6525, ,151,-0.9023, 
1,40,342,-1.679, ,-484.3,2.467, 
1,41,1312,-3.643, ,-314.6,1.287, 
1,42,-117.1,0.5481,-0.00098,170.9,-0.8062,0.001291
1,43,79.507,0.70892,-0.0020983,186.71,-1.3546,0.0024016
1,44,1935.7, , ,-21.23, , 
1,45,164.25,-0.26834, ,-44.069,0.027778, 
1,46,677.32,-2.0066, ,-249.85,1.7054, 
1,47,3150.86,-3.1003, ,189.911,-0.9413, 
1,48,1529.52,-6.2025,0.00975,82.6,-0.615,-0.000623
1,49,-923.282,7.80959,-0.008808,183.02,-1.22588,0.000583
1,52,24.432,0.2915, ,-16.034,-0.5337, 
1,53,269.67, , ,-41, , 
1,55,407.47,-0.2037,-0.00016,-0.067,-0.3935,0.00004
1,56,1058.31,-1.1856, ,438.76,-1.2256, 
1,61,860.51,-1.96009, ,-309.943,0.64856, 
1,84,70.38,0.24511, ,77.7793,0.83298, 
1,85,1260.02,-4.55446,0.0067607,996.5333,-5.48462,0.0095873
1,87,283.8202,-3.9547,0.0103753,907.3842,0.46568,-0.0055872
1,89,360.8016,2.05302,-0.0166992,454.5569,-1.47382,0.0010454
1,90,656.528,-4.2237,0.0074475,-307.8627,3.60996,-0.0081757
1,91,1094.303,-1.11888, ,243.462,-1.03559, 
1,93,468.398,-2.55668, ,2660.16,-6.86512, 
1,98,1859.374,4.06308, ,1131.305,-0.93175, 
1,99,4041.479,-3.90698,-0.0254482,3504.325,2.66288,-0.0330202
2,3,174.1,-0.5886, ,-157.2,0.6166, 
2,4,117.3,-0.8552, ,-113.1,1.172, 
2,5,2649,-6.508,0.004822,1566,-5.809,0.005197
2,6,-628.07,10,-0.014972,-96.297,0.6304,-0.0018
2,7,778.3,0.1482, ,-1301,4.072, 
2,8,1207,-1.955, ,191.6,0.4936, 
2,9,179.8,0.69911, ,91.811,-0.71715, 
2,10,476.25, , ,202.49, , 
2,11,980.74,-2.4224, ,-582.82,1.6732, 
2,12,309.8, , ,-28.63, , 
2,13,733.3,-2.509, ,-844.3,2.945, 
2,14,1857,-8.653001,0.01088,498.8,-5.148,0.01039
2,15,224.8, , ,-124.32, , 
2,16,165.3, , ,-131.5, , 
2,17,2800,-10.72,0.01339,3982,-19.72,0.02783
2,18,13.502, , ,-13.317, , 
2,19,634.85, , ,-181.93, , 
2,20,-2026.1,8.1549, ,-347.5,1.216, 
2,21,498.9,-1.487, ,-359.6,1.238, 
2,22,-44.958, , ,55.881, , 
2,23,-204.51, , ,255.41, , 
2,24,616.62,-2.1164, ,-663.45,2.3281, 
2,25,-56.69,9.805, ,215.5,-1.519, 
2,26,417.6,0.08726, ,452.2,-1.997, 
2,28,46.06,1.545, ,70.88,-1.09, 
2,30,470.4, , ,-146.1, , 
2,33,-19.82,0.5941, ,160.4,-0.5148, 
2,34,642.27,-3.8641,0.0055,-197.06,1.8723,-0.0027
2,35,-174.6,1.96, ,154,-1.303, 
2,36,179.7, , ,-113.8, , 
2,37,967.9,-0.03862, ,-300.6,-0.09576, 
2,38,141.1,-0.3025, ,-139.5,0.9076, 
2,39,388.4, , ,-152.2, , 
2,41,-339.8,1.297, ,698.5,-2.159, 
2,42,2.406,-0.1882, ,60.2,0.1565, 
2,43,-322.1,-0.20367,0.004517,1182.6,-5,0.0037455
2,45,389.28, , ,-174.41, , 
2,46,491.23,-1.8285, ,-734.87,3.3463, 
2,47,673.2271,1.9523, ,92.7,-0.8135, 
2,48,249.18, , ,-81.79, , 
2,49,1171.32,3.92127, ,90.0134,-0.920017, 
2,52,-86.231, , ,-39.373, , 
2,53,9.389999, , ,57.86, , 
2,55,-456.08,2.4334, ,298.55,-1.4153, 
2,56,775.56, , ,-65.66, , 
2,61,324.316, , ,-156.458, , 
2,84,-44.3408,-0.65212, ,1753.135,-3.112, 
2,85,566.2915,-0.14057, ,-1213.93,5.14012, 
2,87,-92.7302,-0.25088, ,-1151.296,4.7125, 
2,89,1230.781,0.17033,0.0141503,4896.219,-1.86077,-0.0254894
2,90,1625.909,-2.40107, ,159.8103,1.85317, 
2,91,2979.973,4.82369,-0.0272505,724.9113,-4.79411,0.0056279
2,93,-740.2421, , ,232.905, , 
2,98,2487.632,-3.28182, ,1804.025,-5.18107, 
2,99,-2399.738,-0.27451,0.0329518,658.1962,0.57714,-0.0078001
3,4,139.2,-0.65, ,-45.33,0.4223, 
3,5,3972,-13.16,0.01208,3049,-12.77,0.01435
3,6,1604.3,-2.0299, ,13.733,-0.11768, 
3,7,792,-1.726, ,332.3,1.158, 
3,8,1356,-2.118, ,2340,-5.043, 
3,9,146.2,-1.237,0.004237,-57.53,1.212,-0.003715
3,10,-365.5,1.874, ,1011,-2.167, 
3,11,-274.54,0.91491, ,622.73,-1.7605, 
3,12,170.5,-0.02393, ,108.3,-0.262, 
3,13,-87.08,-0.1859, ,179,0.05615, 
3,14,2036,-8.729,0.008138,-121,-1.901,0.006999
3,15,139.67,0.037692, ,105.63,-0.60667, 
3,16,-71.4,0.7078, ,16.29,-0.6022, 
3,17,1044.7,-1.7112, ,154.39,1.2458, 
3,18,-1553.9,0.1615,0.0082,1810.8,-5.7594,0.0023
3,19,-17.44,0.9437, ,111.8,-0.5959, 
3,20,69.561,1.8881, ,613.32,-1.595, 
3,21,73.04601,-0.21322, ,-58.972,0.1046, 
3,22,133.66,-0.46141, ,-142.2,0.39662, 
3,23,66.214,-0.63629, ,-78.116,0.69975, 
3,24,269,-1.776,0.002645,-305.5,2.12,-0.003239
3,25,595.2,3.309,-0.02844,1885,-10.98,0.01661
3,26,134.1,-0.8156,0.00145,-330,3.066,-0.005376
3,27,936.3391,-4.4141,0.012232,1866.23,-9.28137,0.008299
3,28,3736,-25,0.04593,574.6,-3.702,0.003682
3,29,77.083,-0.3094, ,-2.1662,0.1196, 
3,30,331.6,0.3778, ,0.4086,-0.4601, 
3,31,-148.14,2.2658,-0.00353,-93.18999,1.5036,-0.00141
3,32,-82.28,0.5677, ,298.9,-0.8374, 
3,33,-248.2,1.214, ,187.5,-0.9020001, 
3,35,347.6,-1.43, ,-345.6,1.545, 
3,37,602.1,-7.798,0.01966,1887,-8.707001,0.007813
3,38,808,-5.331,0.006077,-1367,7.883,-0.007754
3,39,-81.68999,1.1229,-0.00105,58.76,-0.6263,0.000668
3,40,123.26,-0.6133, ,419.04,-0.1703, 
3,41,-126.2,0.386, ,670.8,-1.807, 
3,42,134.6,-1.231,0.001488,-2.619,1.094,-0.001557
3,43,-26.852,-0.44215, ,47.23,0.64039, 
3,44,-1172,10.106,-0.01428,-1141.6,8.656199,-0.015439
3,45,380.02,-0.23326, ,-201.52,-0.068774, 
3,46,313.79,-1.1552, ,-258.12,1.4084, 
3,47,1083.63,0.9144,-0.002141,160.13,-1.3578,0.001331
3,48,92.5,1.4186,0.000018,-14.89,-0.8126,0.000002
3,49,-103.146,2.6565,-0.002819,45.4296,-0.570848,0.000281
3,52,1412,-3.9917, ,-660.25,1.4602, 
3,53,392.56, , ,-260.22, , 
3,55,849.08,-6.5044,0.01219,-358.06,3.6831,-0.00782
3,56,-522.32,3.8856,-0.004212,562.72,-2.4316,0.00242
3,61,454.316,-1.21943, ,-388.19,1.04305, 
3,84,277.4415,-0.1843, ,-223.7499,0.2781, 
3,85,825.9189,-4.35541,0.0085572,20.2719,-0.33187,0.0025793
3,87,-1304.107,3.87435,0.0039496,26.3894,0.38631,-0.0027586
3,89,626.9603,-4.30606, ,2116.398,-2.11062, 
3,90,161.7745,-0.56713, ,785.4488,-3.09114, 
3,91,1690.065,-3.38808,0.0202432,-15.3556,-0.15571,-0.0001404
3,93,-630.416, , ,-72.2694, , 
3,98,1014.686,-1.73087, ,877.6001,-1.96581, 
3,99,4899.846,-3.53433,-0.0358313,-969.6266,3.81305,0.0028389
4,5,3989,-14.09,0.0153,2673,-5.765,-0.000332
4,6,436.21,1.9094, ,145.54,-0.48799, 
4,7,1050.2,-1.9939, ,24.144,1.6504, 
4,8,1375,-1.702, ,1825,-3.743, 
4,9,1001,-1.871,0.000239,-146.6,0.2419,0.0001133
4,10,683.6,-1.02,0.000869,1963,2.656,-0.01355
4,11,-242.5,2.72,-0.003449,1624,-9.409,0.01338
4,12,136.98, , ,377.26, , 
4,13,-595.1,2.978, ,375,-1.57, 
4,14,2977,-19.16,0.03333,-45.44,5.141,-0.0142
4,15,1250, , ,-316.22, , 
4,16,-2631,13.56,-0.007036,978.3,-6.481,0.007088
4,17,4000,-16.68,0.02112,3969,8.497001,-0.005945
