kind,T,P,x1,y1
bubble,303.15,20.24,0.2385,0.9721
bubble,303.15,30.36,0.3698,0.9768
bubble,303.15,39.55,0.5063,0.9815
bubble,303.15,50.95,0.7078,0.9842
bubble,303.15,57.83,0.843,0.9855
bubble,303.15,64.68,0.941,0.9884
bubble,303.15,67.46,0.9656,0.9909
bubble,315.15,20.84,0.2168,0.956
bubble,315.15,30.4,0.3322,0.966
bubble,315.15,40.52,0.4446,0.9748
bubble,315.15,50.66,0.5809,0.9753
bubble,315.15,60.29,0.718,0.9753
bubble,315.15,69.11,0.8457,0.9764
bubble,315.15,72.89,0.8928,0.9773
bubble,315.15,75.94,0.9252,0.9777
bubble,315.15,77.5,0.9424,0.9768
bubble,315.15,78.66,0.952,0.9756
